Date,Fecha_Objetivo,close,Close_Siguiente,Objetivo,Logistica_probabilidad,Logistica_clase,Base_mayoritaria_probabilidad,Base_mayoritaria_clase,PyTorch_MLP_probabilidad,PyTorch_MLP_clase,Keras_LSTM_probabilidad,Keras_LSTM_clase
2023-04-05,2023-04-06,11.09,10.9399995803833,0,0.45306024,0,0.0,0,0.46359843,0,0.46819443,0
2023-04-06,2023-04-10,10.94,11.130000114440918,1,0.46099463,0,0.0,0,0.46612015,0,0.4726295,0
2023-04-10,2023-04-11,11.13,11.649999618530272,1,0.49443787,0,0.0,0,0.45691368,0,0.46933556,0
2023-04-11,2023-04-12,11.65,12.359999656677246,1,0.49187064,0,0.0,0,0.45827022,0,0.46028557,0
2023-04-12,2023-04-13,12.36,12.4399995803833,1,0.48430148,0,0.0,0,0.4582201,0,0.44632953,0
2023-04-13,2023-04-14,12.44,12.729999542236328,1,0.48566726,0,0.0,0,0.45982906,0,0.43989888,0
2023-04-14,2023-04-17,12.73,12.93000030517578,1,0.47513047,0,0.0,0,0.45932105,0,0.43342224,0
2023-04-17,2023-04-18,12.93,12.380000114440918,0,0.4678002,0,0.0,0,0.46317855,0,0.43247184,0
2023-04-18,2023-04-19,12.38,11.640000343322754,0,0.4475514,0,0.0,0,0.45921203,0,0.44435498,0
2023-04-19,2023-04-20,11.64,11.869999885559082,1,0.4469622,0,0.0,0,0.45500594,0,0.45934469,0
2023-04-20,2023-04-21,11.87,11.65999984741211,0,0.5062723,1,0.0,0,0.46360525,0,0.46804914,0
2023-04-21,2023-04-24,11.66,11.699999809265137,1,0.5170528,1,0.0,0,0.4655494,0,0.47372594,0
2023-04-24,2023-04-25,11.7,11.630000114440918,0,0.48558202,0,0.0,0,0.4674179,0,0.4776413,0
2023-04-25,2023-04-26,11.63,11.489999771118164,0,0.4646344,0,0.0,0,0.46619663,0,0.4783919,0
2023-04-26,2023-04-27,11.49,11.479999542236328,0,0.47216743,0,0.0,0,0.4643852,0,0.4786241,0
2023-04-27,2023-04-28,11.48,11.520000457763672,1,0.46031332,0,0.0,0,0.46738774,0,0.477534,0
2023-04-28,2023-05-01,11.52,11.199999809265137,0,0.4436557,0,0.0,0,0.46551195,0,0.4746878,0
2023-05-01,2023-05-02,11.2,11.390000343322754,1,0.41794443,0,0.0,0,0.4653572,0,0.47509325,0
2023-05-02,2023-05-03,11.39,11.300000190734863,0,0.454782,0,0.0,0,0.46177316,0,0.4743241,0
2023-05-03,2023-05-04,11.3,10.93000030517578,0,0.49637568,0,0.0,0,0.46618587,0,0.47206357,0
2023-05-04,2023-05-05,10.93,11.65999984741211,1,0.44206074,0,0.0,0,0.45870978,0,0.47466755,0
2023-05-05,2023-05-08,11.66,11.93000030517578,1,0.5096065,1,0.0,0,0.4613977,0,0.4706367,0
2023-05-08,2023-05-09,11.93,12.140000343322754,1,0.49310654,0,0.0,0,0.46309733,0,0.46117052,0
2023-05-09,2023-05-10,12.14,12.350000381469728,1,0.49118754,0,0.0,0,0.466242,0,0.4557171,0
2023-05-10,2023-05-11,12.35,12.75,1,0.44929034,0,0.0,0,0.46528694,0,0.45140272,0
